Air Temperature,Humidity,pH,Conductivity,Lights Membership,Fans Membership,pH Membership,EC Membership,Lights Status,Fans Status,pH Control Status,EC Control Status

14,17,5.76,3.02,2.019268635724332,0.3541847041847041,1.542851171816689,1.5743263614094596,Medium,Off,Add Alkali,Add Water

14,17,5.76,3.02,2.019268635724332,0.3541847041847041,1.542851171816689,1.5743263614094596,Medium,Off,Add Alkali,Add Water

14,17,5.76,3.02,2.019268635724332,0.3541847041847041,1.542851171816689,1.5743263614094596,Medium,Off,Add Alkali,Add Water

14,17,5.76,3.02,2.019268635724332,0.3541847041847041,1.542851171816689,1.5743263614094596,Medium,Off,Add Alkali,Add Water

14,17,5.76,3.02,2.019268635724332,0.3541847041847041,1.542851171816689,1.5743263614094596,Medium,Off,Add Alkali,Add Water

29,96,7.49,4.05,0.395169082125604,0.6048309178743962,0.9809508196721312,1.6397223466188982,Off,On,No Action,Add Water

29,96,7.49,4.05,0.395169082125604,0.6048309178743962,0.9809508196721312,1.6397223466188982,Off,On,No Action,Add Water

5,90,4.73,2.84,2.638888888888889,0.6388888888888888,1.5758417569926522,1.560683294716278,High,On,Add Alkali,Add Water

5,90,4.73,2.84,2.638888888888889,0.6388888888888888,1.5758417569926522,1.560683294716278,High,On,Add Alkali,Add Water

5,90,4.73,2.84,2.638888888888889,0.6388888888888888,1.5758417569926522,1.560683294716278,High,On,Add Alkali,Add Water

15,78,1.18,1.48,2.0,0.6016129032258065,1.6585609500523928,0.4304513611776182,Medium,On,Add Alkali,Add Salts

15,78,1.18,1.48,2.0,0.6016129032258065,1.6585609500523928,0.4304513611776182,Medium,On,Add Alkali,Add Salts

9,73,10.83,1.42,2.5759950248756223,0.5759950248756218,0.38038535374818555,0.42426046176046167,High,On,Add Acid,Add Salts

9,73,10.83,1.42,2.5759950248756223,0.5759950248756218,0.38038535374818555,0.42426046176046167,High,On,Add Acid,Add Salts

9,73,10.83,1.42,2.5759950248756223,0.5759950248756218,0.38038535374818555,0.42426046176046167,High,On,Add Acid,Add Salts

25,97,4.67,1.73,0.4222222222222223,0.5777777777777777,1.577676174154323,0.4573707986240623,Off,On,Add Alkali,Add Salts

25,97,4.67,1.73,0.4222222222222223,0.5777777777777777,1.577676174154323,0.4573707986240623,Off,On,Add Alkali,Add Salts

24,95,3.15,3.89,0.4294117647058823,0.5705882352941177,1.6201149425287356,1.631349786453407,Off,On,Add Alkali,Add Water

24,95,3.15,3.89,0.4294117647058823,0.5705882352941177,1.6201149425287356,1.631349786453407,Off,On,Add Alkali,Add Water

1,50,5.35,1.16,2.54040404040404,0.4595959595959596,1.5563042220936958,0.3988509105073522,High,Off,Add Alkali,Add Salts

1,50,5.35,1.16,2.54040404040404,0.4595959595959596,1.5563042220936958,0.3988509105073522,High,Off,Add Alkali,Add Salts

1,50,5.35,1.16,2.54040404040404,0.4595959595959596,1.5563042220936958,0.3988509105073522,High,Off,Add Alkali,Add Salts

7,76,5.92,2.44,2.591666666666667,0.5916666666666667,1.5374966828836798,1.5287019493916045,High,On,Add Alkali,Add Water

7,76,5.92,2.44,2.591666666666667,0.5916666666666667,1.5374966828836798,1.5287019493916045,High,On,Add Alkali,Add Water

31,86,5.72,4.86,0.38282828282828285,0.6171717171717171,1.5441808924827791,1.6659255898366603,Off,On,Add Alkali,Add Water

31,86,5.72,4.86,0.38282828282828285,0.6171717171717171,1.5441808924827791,1.6659255898366603,Off,On,Add Alkali,Add Water

31,86,5.72,4.86,0.38282828282828285,0.6171717171717171,1.5441808924827791,1.6659255898366603,Off,On,Add Alkali,Add Water

